Area,Age,Sex,Year at 30 June,Value,Flags
"Puketapapa local board area","35-39 Years","Female","1999",2130,
"Puketapapa local board area","35-39 Years","Female","2000",2120,
"Orakei local board area","35-39 Years","Female","1996",3030,
"Orakei local board area","35-39 Years","Female","1997",3150,
"Orakei local board area","35-39 Years","Female","1998",3160,
"Orakei local board area","35-39 Years","Female","1999",3170,
"Orakei local board area","35-39 Years","Female","2000",3220,
"Maungakiekie-Tamaki local board area","35-39 Years","Female","1996",2470,
"Maungakiekie-Tamaki local board area","35-39 Years","Female","1997",2600,
"Maungakiekie-Tamaki local board area","35-39 Years","Female","1998",2710,
"Maungakiekie-Tamaki local board area","35-39 Years","Female","1999",2750,
"Maungakiekie-Tamaki local board area","35-39 Years","Female","2000",2800,
"Howick local board area","35-39 Years","Female","1996",3310,
"Howick local board area","35-39 Years","Female","1997",3520,
"Howick local board area","35-39 Years","Female","1998",3750,
"Howick local board area","35-39 Years","Female","1999",3880,
"Howick local board area","35-39 Years","Female","2000",4080,
"Mangere-Otahuhu local board area","35-39 Years","Female","1996",2120,
"Mangere-Otahuhu local board area","35-39 Years","Female","1997",2220,
"Mangere-Otahuhu local board area","35-39 Years","Female","1998",2300,
"Mangere-Otahuhu local board area","35-39 Years","Female","1999",2350,
"Mangere-Otahuhu local board area","35-39 Years","Female","2000",2410,
"Otara-Papatoetoe local board area","35-39 Years","Female","1996",2440,
"Otara-Papatoetoe local board area","35-39 Years","Female","1997",2530,
"Otara-Papatoetoe local board area","35-39 Years","Female","1998",2690,
"Otara-Papatoetoe local board area","35-39 Years","Female","1999",2690,
"Otara-Papatoetoe local board area","35-39 Years","Female","2000",2680,
"Manurewa local board area","35-39 Years","Female","1996",2410,
"Manurewa local board area","35-39 Years","Female","1997",2620,
"Manurewa local board area","35-39 Years","Female","1998",2830,
"Manurewa local board area","35-39 Years","Female","1999",2910,
"Manurewa local board area","35-39 Years","Female","2000",2960,
"Papakura local board area","35-39 Years","Female","1996",1390,
"Papakura local board area","35-39 Years","Female","1997",1460,
"Papakura local board area","35-39 Years","Female","1998",1540,
"Papakura local board area","35-39 Years","Female","1999",1530,
"Papakura local board area","35-39 Years","Female","2000",1560,
"Franklin local board area","35-39 Years","Female","1996",2120,
"Franklin local board area","35-39 Years","Female","1997",2250,
"Franklin local board area","35-39 Years","Female","1998",2320,
"Franklin local board area","35-39 Years","Female","1999",2370,
"Franklin local board area","35-39 Years","Female","2000",2430,
"Rodney local board area","40-44 Years","Female","1996",1560,
"Rodney local board area","40-44 Years","Female","1997",1620,
"Rodney local board area","40-44 Years","Female","1998",1710,
"Rodney local board area","40-44 Years","Female","1999",1790,
"Rodney local board area","40-44 Years","Female","2000",1880,
"Hibiscus and Bays local board area","40-44 Years","Female","1996",2780,
"Hibiscus and Bays local board area","40-44 Years","Female","1997",2860,
"Hibiscus and Bays local board area","40-44 Years","Female","1998",2910,
"Hibiscus and Bays local board area","40-44 Years","Female","1999",3000,
"Hibiscus and Bays local board area","40-44 Years","Female","2000",3170,
"Upper Harbour local board area","40-44 Years","Female","1996",960,
"Upper Harbour local board area","40-44 Years","Female","1997",1080,
"Upper Harbour local board area","40-44 Years","Female","1998",1190,
"Upper Harbour local board area","40-44 Years","Female","1999",1320,
"Upper Harbour local board area","40-44 Years","Female","2000",1420,
"Kaipatiki local board area","40-44 Years","Female","1996",2760,
"Kaipatiki local board area","40-44 Years","Female","1997",2840,
"Kaipatiki local board area","40-44 Years","Female","1998",2940,
"Kaipatiki local board area","40-44 Years","Female","1999",2990,
"Kaipatiki local board area","40-44 Years","Female","2000",3020,
"Devonport-Takapuna local board area","40-44 Years","Female","1996",2000,
"Devonport-Takapuna local board area","40-44 Years","Female","1997",2020,
"Devonport-Takapuna local board area","40-44 Years","Female","1998",2080,
"Devonport-Takapuna local board area","40-44 Years","Female","1999",2110,
"Devonport-Takapuna local board area","40-44 Years","Female","2000",2140,
"Henderson-Massey local board area","40-44 Years","Female","1996",2780,
"Henderson-Massey local board area","40-44 Years","Female","1997",2890,
"Henderson-Massey local board area","40-44 Years","Female","1998",3000,
"Henderson-Massey local board area","40-44 Years","Female","1999",3180,
"Henderson-Massey local board area","40-44 Years","Female","2000",3310,
"Waitakere Ranges local board area","40-44 Years","Female","1996",1740,
"Waitakere Ranges local board area","40-44 Years","Female","1997",1790,
"Waitakere Ranges local board area","40-44 Years","Female","1998",1830,
"Waitakere Ranges local board area","40-44 Years","Female","1999",1830,
"Waitakere Ranges local board area","40-44 Years","Female","2000",1900,
"Aotea/Great Barrier local board area","40-44 Years","Female","1996",50,
"Aotea/Great Barrier local board area","40-44 Years","Female","1997",55,
"Aotea/Great Barrier local board area","40-44 Years","Female","1998",55,
"Aotea/Great Barrier local board area","40-44 Years","Female","1999",55,
"Aotea/Great Barrier local board area","40-44 Years","Female","2000",50,
"Waiheke local board area","40-44 Years","Female","1996",270,
"Waiheke local board area","40-44 Years","Female","1997",280,
"Waiheke local board area","40-44 Years","Female","1998",280,
"Waiheke local board area","40-44 Years","Female","1999",300,
"Waiheke local board area","40-44 Years","Female","2000",320,
"Waitemata local board area","40-44 Years","Female","1996",1620,
"Waitemata local board area","40-44 Years","Female","1997",1630,
"Waitemata local board area","40-44 Years","Female","1998",1670,
"Waitemata local board area","40-44 Years","Female","1999",1770,
"Waitemata local board area","40-44 Years","Female","2000",1840,
"Whau local board area","40-44 Years","Female","1996",1990,
"Whau local board area","40-44 Years","Female","1997",2110,
"Whau local board area","40-44 Years","Female","1998",2200,
"Whau local board area","40-44 Years","Female","1999",2260,
"Whau local board area","40-44 Years","Female","2000",2370,
"Albert-Eden local board area","40-44 Years","Female","1996",3260,
"Albert-Eden local board area","40-44 Years","Female","1997",3400,
"Albert-Eden local board area","40-44 Years","Female","1998",3460,
"Albert-Eden local board area","40-44 Years","Female","1999",3530,
"Albert-Eden local board area","40-44 Years","Female","2000",3520,
"Puketapapa local board area","40-44 Years","Female","1996",1750,
"Puketapapa local board area","40-44 Years","Female","1997",1760,
"Puketapapa local board area","40-44 Years","Female","1998",1850,
"Puketapapa local board area","40-44 Years","Female","1999",1910,
"Puketapapa local board area","40-44 Years","Female","2000",1970,
"Orakei local board area","40-44 Years","Female","1996",3010,
"Orakei local board area","40-44 Years","Female","1997",3090,
"Orakei local board area","40-44 Years","Female","1998",3120,
"Orakei local board area","40-44 Years","Female","1999",3100,
"Orakei local board area","40-44 Years","Female","2000",3080,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","1996",2040,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","1997",2140,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","1998",2180,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","1999",2200,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","2000",2230,
"Howick local board area","40-44 Years","Female","1996",3620,
"Howick local board area","40-44 Years","Female","1997",3670,
"Howick local board area","40-44 Years","Female","1998",3770,
"Howick local board area","40-44 Years","Female","1999",3890,
"Howick local board area","40-44 Years","Female","2000",4070,
"Mangere-Otahuhu local board area","40-44 Years","Female","1996",1790,
"Mangere-Otahuhu local board area","40-44 Years","Female","1997",1840,
"Mangere-Otahuhu local board area","40-44 Years","Female","1998",1890,
"Mangere-Otahuhu local board area","40-44 Years","Female","1999",1930,
"Mangere-Otahuhu local board area","40-44 Years","Female","2000",1990,
"Otara-Papatoetoe local board area","40-44 Years","Female","1996",2050,
"Otara-Papatoetoe local board area","40-44 Years","Female","1997",2120,
"Otara-Papatoetoe local board area","40-44 Years","Female","1998",2150,
"Otara-Papatoetoe local board area","40-44 Years","Female","1999",2220,
"Otara-Papatoetoe local board area","40-44 Years","Female","2000",2270,
"Manurewa local board area","40-44 Years","Female","1996",1960,
"Manurewa local board area","40-44 Years","Female","1997",2050,
"Manurewa local board area","40-44 Years","Female","1998",2130,
"Manurewa local board area","40-44 Years","Female","1999",2240,
"Manurewa local board area","40-44 Years","Female","2000",2360,
"Papakura local board area","40-44 Years","Female","1996",1360,
"Papakura local board area","40-44 Years","Female","1997",1360,
"Papakura local board area","40-44 Years","Female","1998",1330,
"Papakura local board area","40-44 Years","Female","1999",1370,
"Papakura local board area","40-44 Years","Female","2000",1390,
"Franklin local board area","40-44 Years","Female","1996",1840,
"Franklin local board area","40-44 Years","Female","1997",1900,
"Franklin local board area","40-44 Years","Female","1998",1980,
"Franklin local board area","40-44 Years","Female","1999",2090,
"Franklin local board area","40-44 Years","Female","2000",2120,
"Rodney local board area","15-19 Years","Female","2001",1410,
"Rodney local board area","15-19 Years","Female","2002",1450,
"Rodney local board area","15-19 Years","Female","2003",1510,
"Rodney local board area","15-19 Years","Female","2004",1590,
"Rodney local board area","15-19 Years","Female","2005",1620,
"Rodney local board area","15-19 Years","Female","2006",1740,
"Hibiscus and Bays local board area","15-19 Years","Female","2001",2640,
"Hibiscus and Bays local board area","15-19 Years","Female","2002",2690,
"Hibiscus and Bays local board area","15-19 Years","Female","2003",2800,
"Hibiscus and Bays local board area","15-19 Years","Female","2004",2850,
"Hibiscus and Bays local board area","15-19 Years","Female","2005",2990,
"Hibiscus and Bays local board area","15-19 Years","Female","2006",3200,
"Upper Harbour local board area","15-19 Years","Female","2001",1150,
"Upper Harbour local board area","15-19 Years","Female","2002",1300,
"Upper Harbour local board area","15-19 Years","Female","2003",1430,
"Upper Harbour local board area","15-19 Years","Female","2004",1520,
"Upper Harbour local board area","15-19 Years","Female","2005",1610,
"Upper Harbour local board area","15-19 Years","Female","2006",1710,
"Kaipatiki local board area","15-19 Years","Female","2001",2970,
"Kaipatiki local board area","15-19 Years","Female","2002",3010,
"Kaipatiki local board area","15-19 Years","Female","2003",3100,
"Kaipatiki local board area","15-19 Years","Female","2004",3120,
"Kaipatiki local board area","15-19 Years","Female","2005",3100,
"Kaipatiki local board area","15-19 Years","Female","2006",3000,
"Devonport-Takapuna local board area","15-19 Years","Female","2001",1760,
"Devonport-Takapuna local board area","15-19 Years","Female","2002",1850,
"Devonport-Takapuna local board area","15-19 Years","Female","2003",1880,
"Devonport-Takapuna local board area","15-19 Years","Female","2004",1900,
